nnkd,mob,MOB_term,Credit_TermApr,bad,maxdelay_one,delays_one,MA_AGE,MA_Gender,MA_Education,MA_Marital_Status,MANUMBEROFCHILD,MA_Residential_Status,MA_MONTH_AT_CURR_ADDRESS,MA_Real_Estate_Owner,MA_REG_Same_Fact_Addr,MA_MONTH_AT_CURR_PASSP,MA_Exp_IND,MA_MONTH_AT_CURR_JOB,MA_Time_Previous_Job,MA_Proposed_Amount,TOT_INCOME,PARTWH_INCOME,PAYMD2TOTPAYM,PTI,ratio_curr_cap_share,larger_diff_term,ratio_inst_amount,freq_nnkd,age_range,EQ_PP,diff_white_pti,ratio_time_job,ratio_amount_income
1-RUR-0000-3311827,3,0.0491803278,61,0,4,0,23,1,0,2,0,1,101,1,0,38,0,12,0,300000,33400.0,1.0,0.2896964795530053,0.2583949101796407,0.01732176816066507,1,141.48180327868852,11,1,0,24769.61,0.0,1.336
1-RUR-4520-3642164,4,0.0655737704,61,0,14,0,40,0,2,5,1,2,61,1,0,54,0,7,7,400000,55000.0,0.0,0.3352073032592749,0.20086472727272725,0.028887032216510757,1,181.10754098360655,7,3,0,-11047.56,1.0,1.65
1-RUR-4510-3350327,2,0.0327868852,61,0,4,0,30,0,0,5,1,4,105,1,0,67,0,95,38,200000,36540.0,0.0,0.25564848484848485,0.15746004378763,0.00850817829537107,1,94.3211475409836,15,2,0,-5753.59,0.4,2.1924
1-RUR-4520-4902993,2,0.054054054000000004,37,0,0,0,26,0,2,2,0,1,32,1,0,68,0,12,13,300000,45000.0,0.0,0.4523491878903039,0.28821911111111115,0.0199426669501615,1,350.53675675675674,4,1,0,-12969.860000000002,1.0833333333333333,1.8
1-RUR-0000-3489112,12,0.5,24,0,1,0,41,0,3,5,1,3,34,1,0,58,0,30,24,200000,40000.0,0.0,0.6844194636630305,0.2643555,0.6646800097983065,1,440.5925,2,3,0,-10574.220000000001,0.8,2.4
1-RUR-9920-4282345,8,0.1311475409,61,0,1,0,42,1,0,5,1,3,177,1,0,8,0,37,36,235000,25000.0,0.0,0.3220006344542235,0.2704188,0.06982239076229368,1,110.82737704918033,2,3,0,-6760.47,0.972972972972973,1.2765957446808511
1-RUR-6560-3748869,8,0.1311475409,61,1,13,0,27,1,0,2,0,1,27,1,0,56,0,7,48,300000,44130.0,1.0,0.3201774405313562,0.1955674144572853,0.05850957544052502,1,141.48180327868852,2,2,0,35499.61,6.857142857142857,1.7652
1-RUR-9920-4282345,7,0.1147540983,61,0,0,0,42,1,0,5,1,3,177,1,0,8,0,37,36,235000,25000.0,0.0,0.3143943976513913,0.2704188,0.04737154531895422,1,110.82737704918033,2,3,0,-6760.47,0.972972972972973,1.2765957446808511
1-RUR-4500-3718861,6,0.09836065570000001,61,0,7,0,29,1,2,2,0,2,8,1,0,67,0,10,14,150000,54700.0,1.0,0.306082686158063,0.07888829981718462,0.04675615494526883,1,70.74081967213114,8,2,0,50384.81,1.4,4.376
1-RUR-0000-4026760,9,0.14754098359999998,61,0,0,0,29,1,0,5,1,2,25,1,0,53,0,5,24,160000,14449.0,1.0,0.8601710746297064,0.305836390061596,2.733206404315587,1,72.44311475409836,1,2,0,10029.97,4.8,1.083675
